xrsa_flux,xrsb_flux,status,flare_class
1e-09,1.4313451e-07,EVENT_START,nan
4.84803e-09,2.5778232e-07,EVENT_PEAK,B2.5
1e-09,1.965285e-07,EVENT_END,nan
1e-09,2.0192815e-07,EVENT_START,nan
7.982884e-09,3.3699024e-07,EVENT_PEAK,B3.3
1e-09,2.62833e-07,EVENT_END,nan
1e-09,2.5267033e-07,EVENT_START,nan
2.5679514e-08,5.098432e-07,EVENT_PEAK,B5.0
5.7465135e-09,3.417656e-07,EVENT_END,nan
1e-09,2.367266e-07,POST_EVENT,nan
1e-09,2.1623364e-07,EVENT_START,nan
1.925757e-08,4.915877e-07,EVENT_PEAK,B4.9
1e-09,3.1477387e-07,EVENT_END,nan
1e-09,2.0223081e-07,POST_EVENT,nan
1e-09,2.5460966e-07,EVENT_START,nan
7.930627e-09,4.478751e-07,EVENT_PEAK,B4.4
1e-09,3.3019728e-07,EVENT_END,nan
1e-09,2.5198514e-07,POST_EVENT,nan
1e-09,1.9662201e-07,EVENT_START,nan
1.4053319e-08,5.380947e-07,EVENT_PEAK,B5.3
1e-09,3.2292417e-07,EVENT_END,nan
1e-09,1.8681229e-07,POST_EVENT,nan
1e-09,1.7687003e-07,EVENT_START,nan
1.2456557e-08,3.9363408e-07,EVENT_PEAK,B3.9
1e-09,2.3887856e-07,EVENT_END,nan
1e-09,1.6613009e-07,POST_EVENT,nan
1e-09,4.399202e-08,EVENT_START,nan
1e-09,1.2794078e-07,EVENT_PEAK,B1.2
1e-09,8.477877e-08,EVENT_END,nan
1e-09,4.485493e-08,POST_EVENT,nan
1e-09,6.921008e-08,EVENT_START,nan
2.2652051e-07,2.6452924e-06,EVENT_PEAK,C2.6
3.5638095e-08,1.2990906e-06,EVENT_END,nan
1e-09,7.276573e-08,POST_EVENT,nan
1e-09,4.4668784e-08,,
4.5063175e-09,1.720664e-07,,
1e-09,1.0095749e-07,,
1e-09,6.735104e-08,,
1e-09,1.927142e-07,,
1e-09,1.2650503e-07,,
1e-09,7.188714e-08,,
1e-09,7.205563e-08,,
1e-09,1.4757111e-07,,
1e-09,1.0551625e-07,,
1e-09,1.09518574e-07,,
1e-09,1.6195129e-07,,
1e-09,1.2594165e-07,,
1e-09,1.0654839e-07,,
1e-09,4.8747385e-08,EVENT_START,nan
1e-09,1.4587172e-07,EVENT_PEAK,B1.4
1e-09,5.8317006e-08,EVENT_END,nan
1e-09,4.770821e-08,POST_EVENT,nan
1e-09,6.553087e-08,EVENT_START,nan
6.5314865e-09,2.3578372e-07,EVENT_PEAK,B2.3
3.0476774e-09,1.4336575e-07,EVENT_END,nan
1e-09,7.004194e-08,POST_EVENT,nan
1e-09,4.680425e-08,EVENT_START,nan
5.6637814e-09,1.9039058e-07,EVENT_PEAK,B1.9
1.3769796e-09,1.1249965e-07,EVENT_END,nan
1e-09,4.3551648e-08,POST_EVENT,nan
1e-09,3.8726053e-08,EVENT_START,nan
3.4805478e-09,1.4138467e-07,EVENT_PEAK,B1.4
1e-09,7.27845e-08,EVENT_END,nan
1e-09,3.4647186e-08,POST_EVENT,nan
1e-09,1e-09,EVENT_START,nan
6.4181735e-09,1.7521572e-07,EVENT_PEAK,B1.7
1e-09,5.668586e-08,EVENT_END,nan
1e-09,9.72758e-09,POST_EVENT,nan
3.7921746e-09,2.3462952e-08,EVENT_START,nan
1e-09,1.0924351e-07,EVENT_PEAK,B1.0
1e-09,7.958655e-08,EVENT_END,nan
1e-09,4.497982e-08,POST_EVENT,nan
1.3215503e-08,1e-09,EVENT_START,nan
1e-09,1.214193e-07,EVENT_PEAK,B1.2
1e-09,5.8245316e-08,EVENT_END,nan
1e-09,5.677754e-09,POST_EVENT,nan
1e-09,3.1712162e-08,EVENT_START,nan
1e-09,2.286104e-07,EVENT_PEAK,B2.2
1e-09,1.162451e-07,EVENT_END,nan
1e-09,3.114651e-08,POST_EVENT,nan
1e-09,3.33689e-08,EVENT_START,nan
7.258595e-09,3.9691705e-07,EVENT_PEAK,B3.9
1e-09,1.972729e-07,EVENT_END,nan
1.8755998e-08,7.82043e-08,EVENT_START,nan
5.4721482e-08,1.12371765e-07,EVENT_PEAK,B1.1
7.275958e-09,8.222685e-08,EVENT_END,nan
9.823457e-09,7.7294324e-08,POST_EVENT,nan
2.6502446e-08,5.0232995e-08,EVENT_START,nan
1e-09,1.5351107e-08,EVENT_START,nan
2.0554369e-08,2.1838409e-07,EVENT_PEAK,B2.1
1.3027059e-09,4.2406832e-08,EVENT_END,nan
1.0032252e-09,3.1116773e-08,EVENT_START,nan
4.0373855e-09,1.2548232e-07,EVENT_PEAK,B1.2
2.4942504e-09,6.895588e-08,EVENT_END,nan
2.2406317e-09,3.7476493e-08,POST_EVENT,nan
1e-09,3.3253844e-08,EVENT_START,nan
9.031511e-09,1.9721153e-07,EVENT_PEAK,B1.9
1e-09,1.1038061e-07,EVENT_END,nan
1e-09,3.9156873e-08,POST_EVENT,nan
1e-09,7.677119e-09,EVENT_START,nan
1.9992898e-09,1.2163655e-07,EVENT_PEAK,B1.2
1e-09,3.509682e-08,EVENT_END,nan
1e-09,5.1481454e-08,EVENT_START,nan
1e-09,1.31478e-07,EVENT_PEAK,B1.3
1e-09,9.036074e-08,EVENT_END,nan
1e-09,6.0408745e-08,EVENT_START,nan
1e-09,1.2428102e-07,EVENT_PEAK,B1.2
1e-09,8.9029825e-08,EVENT_END,nan
1e-09,1.0027435e-07,EVENT_START,nan
2.8499454e-09,1.6189439e-07,EVENT_PEAK,B1.6
1e-09,1.254937e-07,EVENT_END,nan
1e-09,1.0070409e-07,POST_EVENT,nan
1e-09,1.08370365e-07,EVENT_START,nan
1.7692852e-08,3.5606027e-07,EVENT_PEAK,B3.5
1.2410147e-09,2.0010887e-07,EVENT_END,nan
1.3971747e-09,1.10078915e-07,POST_EVENT,nan
1.0767089e-09,5.840249e-08,EVENT_START,nan
3.6905934e-09,1.1694447e-07,EVENT_PEAK,B1.1
1.8415551e-09,8.1027515e-08,EVENT_END,nan
1e-09,5.632497e-08,POST_EVENT,nan
1e-09,4.15792e-08,EVENT_START,nan
2.8248115e-09,1.4338474e-07,EVENT_PEAK,B1.4
1e-09,1.0583099e-07,EVENT_START,nan
1e-09,1.5449518e-07,EVENT_PEAK,B1.5
1e-09,9.9623925e-08,EVENT_END,nan
1e-09,8.501956e-08,POST_EVENT,nan
1e-09,4.3543388e-08,EVENT_START,nan
1e-09,1.3618325e-07,EVENT_PEAK,B1.3
1e-09,7.692238e-08,EVENT_END,nan
1e-09,4.0510393e-08,POST_EVENT,nan
1e-09,1.7573026e-08,EVENT_START,nan
4.441212e-09,1.4331775e-07,EVENT_PEAK,B1.4
2.8498677e-09,7.3343806e-08,EVENT_END,nan
1e-09,1.7932072e-08,POST_EVENT,nan
2.708495e-09,6.761397e-08,EVENT_START,nan
8.748144e-09,1.5612159e-07,EVENT_PEAK,B1.5
5.0262883e-09,1.0824059e-07,EVENT_END,nan
2.043932e-09,7.1996446e-08,POST_EVENT,nan
7.0743154e-09,3.667864e-08,EVENT_START,nan
1.6742336e-08,2.586686e-07,EVENT_PEAK,B2.5
1.1103743e-08,1.6869232e-07,EVENT_START,nan
1.4215922e-08,2.9106457e-07,EVENT_PEAK,B2.9
1.2750675e-08,2.2154296e-07,EVENT_END,nan
8.4854515e-09,1.6841521e-07,POST_EVENT,nan
5.3854197e-09,3.323112e-08,EVENT_START,nan
5.8496653e-08,6.597854e-07,EVENT_PEAK,B6.5
1.6243012e-08,3.0158913e-07,EVENT_END,nan
4.4721116e-09,4.2657582e-08,POST_EVENT,nan
1e-09,5.192528e-08,EVENT_START,nan
2.8230769e-08,4.922917e-07,EVENT_PEAK,B4.9
5.748796e-09,2.5709997e-07,EVENT_END,nan
1e-09,8.903995e-08,EVENT_START,nan
4.1292196e-09,1.9340582e-07,EVENT_PEAK,B1.9
2.0075304e-09,1.2900543e-07,EVENT_END,nan
1e-09,8.424592e-08,POST_EVENT,nan
1e-09,6.214169e-08,EVENT_START,nan
3.4288599e-09,1.3167941e-07,EVENT_PEAK,B1.3
1.1076877e-09,1.1713479e-07,EVENT_START,nan
1.03016875e-08,3.2459764e-07,EVENT_PEAK,B3.2
2.6690288e-09,2.0831024e-07,EVENT_END,nan
1e-09,1.5035708e-07,EVENT_START,nan
9.4555844e-08,1.2824258e-06,EVENT_PEAK,C1.2
2.4927624e-08,6.7872116e-07,EVENT_END,nan
1.894075e-09,1.4896675e-07,POST_EVENT,nan
1e-09,8.711247e-08,EVENT_START,nan
4.7989897e-09,2.0852023e-07,EVENT_PEAK,B2.0
1.2450948e-09,1.3696402e-07,EVENT_END,nan
1e-09,8.372522e-08,POST_EVENT,nan
1e-09,5.351664e-08,EVENT_START,nan
2.1691407e-07,2.6077232e-06,EVENT_PEAK,C2.6
5.0176478e-08,1.131472e-06,EVENT_END,nan
1e-09,5.9077177e-08,POST_EVENT,nan
1e-09,3.9677754e-08,EVENT_START,nan
6.1845484e-09,2.3403406e-07,EVENT_PEAK,B2.3
1e-09,5.779504e-08,EVENT_END,nan
1e-09,2.7829827e-08,POST_EVENT,nan
1e-09,7.628948e-08,EVENT_START,nan
1e-09,1.0703668e-07,EVENT_PEAK,B1.0
1e-09,8.314896e-08,EVENT_END,nan
1e-09,7.6485904e-08,POST_EVENT,nan
1e-09,6.078791e-08,EVENT_START,nan
1e-09,1.2356769e-07,EVENT_PEAK,B1.2
1e-09,7.886261e-08,EVENT_END,nan
1e-09,5.873004e-08,POST_EVENT,nan
1e-09,7.143779e-08,EVENT_START,nan
1.9700779e-09,1.4259582e-07,EVENT_PEAK,B1.4
1e-09,8.2809265e-08,EVENT_END,nan
1e-09,6.503148e-08,POST_EVENT,nan
1e-09,1.0820494e-07,EVENT_START,nan
1e-09,1.6939934e-07,EVENT_PEAK,B1.6
1e-09,1.5666934e-07,EVENT_START,nan
1e-09,2.0484805e-07,EVENT_PEAK,B2.0
1e-09,1.6661473e-07,EVENT_END,nan
1e-09,1.5568615e-07,POST_EVENT,nan
1e-09,9.569548e-08,EVENT_START,nan
1e-09,1.2987694e-07,EVENT_PEAK,B1.2
1e-09,1.08158304e-07,EVENT_END,nan
1e-09,1.14982406e-07,EVENT_START,nan
1e-09,1.804975e-07,EVENT_PEAK,B1.8
1e-09,1.423825e-07,EVENT_END,nan
1e-09,1.3233488e-07,EVENT_START,nan
1e-09,1.8861768e-07,EVENT_PEAK,B1.8
1e-09,1.4883301e-07,EVENT_END,nan
1e-09,1.2945608e-07,POST_EVENT,nan
1e-09,1.1469492e-07,EVENT_START,nan
1e-09,1.9559862e-07,EVENT_PEAK,B1.9
1e-09,1.370703e-07,EVENT_END,nan
1e-09,1.09045935e-07,POST_EVENT,nan
1e-09,7.6407126e-08,EVENT_START,nan
1e-09,1.7772145e-07,EVENT_PEAK,B1.7
1e-09,1.2109103e-07,EVENT_END,nan
1e-09,1.2109103e-07,EVENT_START,nan
1e-09,1.838127e-07,EVENT_PEAK,B1.8
1e-09,1.383542e-07,EVENT_END,nan
1e-09,1.2115163e-07,POST_EVENT,nan
1e-09,6.775209e-08,EVENT_START,nan
1e-09,1.2702311e-07,EVENT_PEAK,B1.2
1e-09,9.6514476e-08,EVENT_END,nan
1e-09,6.816009e-08,POST_EVENT,nan
1e-09,1.1743661e-07,EVENT_START,nan
1e-09,1.9532105e-07,EVENT_PEAK,B1.9
1e-09,1.4623375e-07,EVENT_END,nan
1e-09,1.1888534e-07,POST_EVENT,nan
1e-09,8.0043854e-08,EVENT_START,nan
1e-09,1.1931736e-07,EVENT_PEAK,B1.1
1e-09,9.4721194e-08,EVENT_END,nan
1e-09,8.733285e-08,EVENT_START,nan
1e-09,1.251781e-07,EVENT_PEAK,B1.2
1e-09,1.15434865e-07,EVENT_START,nan
1.090194e-06,7.816539e-06,EVENT_PEAK,C7.8
2.4027307e-07,3.6530234e-06,EVENT_END,nan
1e-09,1.5061336e-07,EVENT_START,nan
2.2672449e-08,4.554319e-07,EVENT_PEAK,B4.5
1e-09,2.3868347e-07,EVENT_END,nan
1e-09,1.5641949e-07,POST_EVENT,nan
1e-09,1.4807775e-07,EVENT_START,nan
1.2335778e-07,1.3554768e-06,EVENT_PEAK,C1.3
2.006994e-08,6.474121e-07,EVENT_END,nan
1e-09,1.4279411e-07,POST_EVENT,nan
1e-09,8.6517886e-08,EVENT_START,nan
2.2572137e-09,1.8216413e-07,EVENT_PEAK,B1.8
1e-09,1.2630395e-07,EVENT_END,nan
1e-09,8.568356e-08,POST_EVENT,nan
1e-09,8.065383e-08,EVENT_START,nan
7.197526e-09,1.8460747e-07,EVENT_PEAK,B1.8
3.3994003e-09,1.6513701e-07,EVENT_START,nan
9.15467e-09,3.029188e-07,EVENT_PEAK,B3.0
1e-09,2.0841519e-07,EVENT_END,nan
1e-09,1.5958734e-07,POST_EVENT,nan
1e-09,7.3395775e-08,EVENT_START,nan
1e-09,1.1524577e-07,EVENT_PEAK,B1.1
1e-09,8.4219366e-08,EVENT_END,nan
1e-09,7.487117e-08,POST_EVENT,nan
1e-09,5.425874e-08,EVENT_START,nan
3.3970198e-09,1.677166e-07,EVENT_PEAK,B1.6
1e-09,8.973785e-08,EVENT_END,nan
1e-09,5.676335e-08,POST_EVENT,nan
1e-09,5.637189e-08,EVENT_START,nan
9.178032e-09,1.6869582e-07,EVENT_PEAK,B1.6
1e-09,9.6064795e-08,EVENT_END,nan
2.313451e-09,5.6801696e-08,POST_EVENT,nan
4.0288346e-09,1.5304776e-07,EVENT_START,nan
3.0137617e-08,5.5153197e-07,EVENT_PEAK,B5.5
1.0569287e-08,3.2133144e-07,EVENT_END,nan
2.069177e-09,1.556617e-07,POST_EVENT,nan
4.200333e-09,8.229066e-08,EVENT_START,nan
7.1352013e-09,1.6324176e-07,EVENT_PEAK,B1.6
2.7245273e-09,1.12914755e-07,EVENT_END,nan
2.7069398e-09,8.134169e-08,POST_EVENT,nan
2.677697e-09,7.869345e-08,EVENT_START,nan
3.9261168e-09,1.23159e-07,EVENT_PEAK,B1.2
1.7445059e-09,1.118595e-07,EVENT_START,nan
2.779156e-09,1.14432886e-07,EVENT_PEAK,B1.1
2.8099445e-09,1.09468274e-07,EVENT_END,nan
2.5863325e-09,1.0858056e-07,POST_EVENT,nan
1.9312212e-09,1.0433715e-07,EVENT_START,nan
3.836446e-07,3.321627e-06,EVENT_PEAK,C3.3
6.975134e-08,1.4895174e-06,EVENT_END,nan
4.469131e-09,1.05795245e-07,POST_EVENT,nan
7.596098e-09,9.367905e-08,,
9.560727e-09,1.4697477e-07,,
7.811786e-09,1.3825226e-07,,
1.7891564e-08,2.7303486e-07,,
8.407473e-09,1.8461772e-07,,
3.941374e-09,1.3328425e-07,,
4.678792e-09,5.957933e-08,,
1.7647833e-08,2.6837887e-07,,
7.632772e-09,1.4672288e-07,,
4.8273505e-09,1.0906242e-07,,
2.1031642e-08,3.993133e-07,,
1.8130633e-08,3.794006e-07,,
